what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1317608237097
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1317608237097
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1317608237097
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1317608237097
os,sysinfo,,,"win32",1317608237097
arch,sysinfo,,,"x86",1317608237097
ws,sysinfo,,,"win32",1317608237097
locale,sysinfo,,,"fr_CH",1317608237097
processors,sysinfo,,,"4",1317608237097
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317608237097
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1317608237097
java.specification.name,sysinfo,,,"Java Platform API Specification",1317608237097
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317608237097
java.specification.version,sysinfo,,,"1.6",1317608237097
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317608237097
java.version,sysinfo,,,"1.6.0_26",1317608237097
java.vm.info,sysinfo,,,"mixed mode, sharing",1317608237097
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317608237097
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317608237097
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317608237097
java.vm.specification.version,sysinfo,,,"1.0",1317608237097
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317608237097
java.vm.version,sysinfo,,,"20.1-b02",1317608237097
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1317608237206
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1317608237237
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1317608237237
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1317608237362
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1317608237362
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1317608237409
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1317608237409
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1317608237425
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1317608237471
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1317608237549
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1317608237565
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1317608237565
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1317608237659
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1317608237861
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1317608238626
